Alias,Fecha Ultima Localizacion,Latitud,Longitud,Direccion,Placa,Taller Molina,Region,Fecha,Hora,Proveedor
BCU-891 [PACASMAYO],2023-01-26 18:27:34,-6.83341,-79.9376,"(-6.8334,-79.9376),CHICLAYO,LAMBAYEQUE",BCU-891,False,Lambayeque,2023-01-26,18:27,Hunter
BCU-903 [PACASMAYO],2023-01-26 17:39:46,-5.16397,-80.7192,"CARRETERA PAITA - PIURA,26 DE OCTUBRE,PIURA",BCU-903,False,Piura,2023-01-26,17:39,Hunter
BCU-904 [PACASMAYO],2023-01-26 18:33:04,-7.16581,-78.4632,"MAYTA CAPAC,CAJAMARCA,CAJAMARCA",BCU-904,False,Cajamarca,2023-01-26,18:33,Hunter
BCU-905 [PACASMAYO],2023-01-26 18:02:09,-7.40979,-79.5537,"PANAMERICANA NORTE,SAN PEDRO DE LLOC,LA LIBERTAD",BCU-905,False,La Libertad,2023-01-26,18:02,Hunter
BCU-910 [PACASMAYO],2023-01-26 18:36:37,-5.16407,-80.7202,"CARRETERA PAITA - PIURA,26 DE OCTUBRE,PIURA",BCU-910,False,Piura,2023-01-26,18:36,Hunter
BCV-721 [PACASMAYO],2023-01-26 18:26:26,-7.39919,-79.5709,"(-7.3991,-79.5708),PACASMAYO,LA LIBERTAD",BCV-721,False,La Libertad,2023-01-26,18:26,Hunter
BCV-723 [PACASMAYO],2023-01-23 14:51:25,-8.13342,-79.0408,"CALLE LOS TILOS,VICTOR LARCO HERRERA,LA LIBERTAD",BCV-723,False,La Libertad,2023-01-23,14:51,Hunter
BCV-724 [PACASMAYO],2023-01-26 18:24:40,-7.40548,-79.5616,"(-7.4054,-79.5616),PACASMAYO,LA LIBERTAD",BCV-724,False,La Libertad,2023-01-26,18:24,Hunter
BCV-725 [PACASMAYO],2023-01-26 17:53:36,-5.18858,-80.6171,"AVENIDA INDEPENDENCIA,CASTILLA,PIURA",BCV-725,False,Piura,2023-01-26,17:53,Hunter
BCV-730 [PACASMAYO],2023-01-26 17:50:00,-6.77927,-79.8795,"(-6.7792,-79.8794),CHICLAYO,LAMBAYEQUE",BCV-730,False,Lambayeque,2023-01-26,17:50,Hunter
BCV-731 [PACASMAYO],2023-01-26 18:35:23,-7.14957,-78.5156,"LAS CASUARINAS,CAJAMARCA,CAJAMARCA",BCV-731,False,Cajamarca,2023-01-26,18:35,Hunter
BCV-732 [PACASMAYO],2023-01-26 17:16:22,-6.77933,-79.8793,"AVENIDA LA PRADERA,CHICLAYO,LAMBAYEQUE",BCV-732,False,Lambayeque,2023-01-26,17:16,Hunter
BCV-734 [PACASMAYO],2023-01-26 18:35:13,-7.38919,-79.5536,"PANAMERICANA NORTE,PACASMAYO,LA LIBERTAD",BCV-734,False,La Libertad,2023-01-26,18:35,Hunter
BCV-735 [PACASMAYO],2023-01-26 18:30:54,-8.11849,-79.0434,"CALLE 44,SUPER 43,TRUJILLO,LA LIBERTAD",BCV-735,False,La Libertad,2023-01-26,18:30,Hunter
BCV-736 [PACASMAYO],2023-01-26 17:52:50,-7.1611,-78.5065,"HUASCARAN,CAJAMARCA,CAJAMARCA",BCV-736,False,Cajamarca,2023-01-26,17:52,Hunter
BCV-737 [PACASMAYO],2023-01-26 18:29:48,-8.08746,-79.05,"CALLE 2,TRUJILLO,LA LIBERTAD",BCV-737,False,La Libertad,2023-01-26,18:29,Hunter
BCV-744 [PACASMAYO],2023-01-26 18:03:21,-5.16487,-80.7203,"CARRETERA PAITA - PIURA,26 DE OCTUBRE,PIURA",BCV-744,False,Piura,2023-01-26,18:03,Hunter
BCV-746 [PACASMAYO],2023-01-26 17:49:36,-8.05317,-79.0612,"CALLE MAMA OCLLO,TRUJILLO,LA LIBERTAD",BCV-746,False,La Libertad,2023-01-26,17:49,Hunter
BCV-748 [PACASMAYO],2023-01-26 17:43:31,-7.40992,-79.5538,"PANAMERICANA NORTE,SAN PEDRO DE LLOC,LA LIBERTAD",BCV-748,False,La Libertad,2023-01-26,17:43,Hunter
BCV-750 [PACASMAYO],2023-01-26 18:34:52,-5.16762,-80.7151,"CARRETERA PAITA - PIURA,26 DE OCTUBRE,PIURA",BCV-750,False,Piura,2023-01-26,18:34,Hunter
BCV-751 [PACASMAYO],2023-01-26 18:08:31,-7.40994,-79.5539,"PANAMERICANA NORTE,SAN PEDRO DE LLOC,LA LIBERTAD",BCV-751,False,La Libertad,2023-01-26,18:08,Hunter
BCV-752 [PACASMAYO],2023-01-26 18:37:10,-9.13777,-78.5109,"AVENIDA 3,NUEVO CHIMBOTE,ANCASH",BCV-752,False,Ancash,2023-01-26,18:37,Hunter
BCV-755 [PACASMAYO],2023-01-26 18:36:53,-8.12701,-79.0441,"CALLE LAS GAVIOTAS,TRUJILLO,LA LIBERTAD",BCV-755,False,La Libertad,2023-01-26,18:36,Hunter
BCV-756 [PACASMAYO],2023-01-26 17:37:17,-7.40935,-79.5552,"PANAMERICANA NORTE,SAN PEDRO DE LLOC,LA LIBERTAD",BCV-756,False,La Libertad,2023-01-26,17:37,Hunter
BCV-759 [PACASMAYO],2023-01-26 18:36:41,-5.71495,-78.8011,"TORRE TAGLE,JAEN,CAJAMARCA",BCV-759,False,Cajamarca,2023-01-26,18:36,Hunter
BCV-760 [PACASMAYO],2023-01-26 17:40:34,-7.4099,-79.5538,"PANAMERICANA NORTE,SAN PEDRO DE LLOC,LA LIBERTAD",BCV-760,False,La Libertad,2023-01-26,17:40,Hunter
BCV-761 [PACASMAYO],2023-01-26 18:36:49,-5.14226,-80.639,"(-5.1422,-80.6390),PIURA,PIURA",BCV-761,False,Piura,2023-01-26,18:36,Hunter
